,id,revenue,sales,customers,price
127,MN2019,2369105,22904299,299995,10.34
128,MO2019,2733866,30133114,384787,9.07
129,MS2019,1497763,14238982,237625,10.52
130,MT2019,515875,4956080,109459,10.41
131,NC2019,4330825,49173038,705587,8.81
132,ND2019,633843,7035031,76355,9.01
133,NE2019,836870,9456725,153814,8.85
134,NH2019,682119,4280854,108247,15.93
135,NJ2019,4650585,38012684,523796,12.23
136,NM2019,884212,9028861,144960,9.79
137,NV2019,938867,11681186,167628,8.04
138,NY2019,10556658,75090820,1121107,14.06
139,OH2019,4469895,46008937,632794,9.72
140,OK2019,1603441,20085991,285641,7.98
141,OR2019,1453026,16422975,240488,8.85
142,PA2019,3498024,40142710,716992,8.71
143,RI2019,597112,3644482,60672,16.38
144,SC2019,2344564,22168328,385285,10.58
145,SD2019,468846,4888034,73549,9.59
146,TN2019,3850725,36151394,497497,10.65
147,TX2019,11440049,142001524,1537111,8.06
148,UT2019,979491,11860449,132082,8.26
149,VA2019,4417182,53981176,434175,8.18
150,VT2019,309173,1934464,58320,15.98
151,WA2019,2561371,29269638,389147,8.75
152,WI2019,2525071,23546114,356561,10.72
153,WV2019,693448,7567130,145225,9.16
154,WY2019,344712,3575477,58325,9.64
155,US2019,145279763,1360876555,18694240,10.68
156,AK2018,491609,2646058,53957,18.58
157,AL2018,2639244,23483072,371097,11.24
158,AR2018,951473,12278279,196482,7.75
159,AZ2018,3158290,29683550,322135,10.64
160,CA2018,18924312,115786492,1714875,16.34
161,CO2018,2105709,21023300,376104,10.02
162,CT2018,2074987,12381063,153824,16.76
163,DC2018,985752,8236225,26336,11.97
164,DE2018,419179,4342340,54904,9.65
165,FL2018,8845109,96265276,1229559,9.19
166,GA2018,4633071,47311675,579468,9.79
167,HI2018,906817,3033009,59661,29.9
168,IA2018,1202569,12417671,239703,9.68
169,ID2018,510534,6436893,110797,7.93
170,IL2018,4631432,50762829,616192,9.12
171,IN2018,2575962,24305199,354730,10.6
172,KS2018,1723136,16168750,234091,10.66
173,KY2018,1945913,19980485,305417,9.74
174,LA2018,2184935,24690904,292752,8.85
175,MA2018,4456596,25952481,408972,17.17
176,MD2018,3082523,29547518,254163,10.43
177,ME2018,556411,4447245,96066,12.51
178,MI2018,4339291,38925268,543261,11.15
179,MN2018,2429217,23398557,295855,10.38
180,MO2018,2931288,31179283,384493,9.4
181,MS2018,1515723,14530226,236871,10.43
182,MT2018,497390,4921231,108695,10.11
183,NC2018,4228751,49298402,691673,8.58
184,ND2018,621753,6835913,75148,9.1
185,NE2018,843309,9553396,153749,8.83
186,NH2018,702541,4442560,107805,15.81
187,NJ2018,4736982,38807065,521429,12.21
188,NM2018,905498,9035272,143874,10.02
189,NV2018,938631,12123896,164982,7.74
190,NY2018,11128003,76745463,1106650,14.5
191,OH2018,4768817,47191540,630210,10.11
192,OK2018,1712885,21229143,282875,8.07
193,OR2018,1467790,16470027,237942,8.91
194,PA2018,3864304,43221520,716936,8.94
195,RI2018,613083,3697587,60128,16.58
196,SC2018,2247543,22232833,376842,10.11
197,SD2018,471755,4903243,72106,9.62
198,TN2018,3881859,36930451,491567,10.51
199,TX2018,11714651,143524631,1591150,8.16
200,UT2018,994353,12083833,130053,8.23
201,VA2018,4346838,52268211,431058,8.32
202,VT2018,305338,2003515,57037,15.24
203,WA2018,2562244,29396404,384366,8.72
204,WI2018,2571408,24093421,354557,10.67
205,WV2018,718595,7774429,144478,9.24
206,WY2018,359772,3757211,58318,9.58
207,US2018,147425170,1381754845,18605393,10.67
208,AK2017,510932,2704890,53472,18.89
209,AL2017,2637503,22743813,369984,11.6
210,AR2017,1013943,11912518,191879,8.51
211,AZ2017,3115269,29681441,320562,10.5
212,CA2017,18552245,117682380,1696071,15.76
213,CO2017,2041429,20640793,370691,9.89
214,CT2017,1981398,12335414,152903,16.06
215,DC2017,933369,8006225,26111,11.66
216,DE2017,413794,4184668,54105,9.89
217,FL2017,8881601,95003681,1216939,9.35
218,GA2017,4667211,46265427,572861,10.09
219,HI2017,825062,3081632,61236,26.77
220,IA2017,1148435,12135026,237942,9.46
221,ID2017,512664,6421001,108965,7.98
222,IL2017,4542608,49987885,611670,9.09
223,IN2017,2494593,23656990,352015,10.54
224,KS2017,1667404,15739290,232078,10.59
225,KY2017,1900421,19292518,304457,9.85
226,LA2017,2192502,24500349,291404,8.95
227,MA2017,4138004,25968044,409715,15.94
228,MD2017,3106559,28893046,252966,10.75
229,ME2017,474531,3916786,99331,12.12
230,MI2017,4217018,38325322,542959,11.0
231,MN2017,2438774,23273897,292859,10.48
232,MO2017,2858219,30176974,381634,9.47
233,MS2017,1449402,14256157,235245,10.17
234,MT2017,502970,4970119,107147,10.12
235,NC2017,4042918,47890455,680967,8.44
236,ND2017,600239,6529910,74527,9.19
237,NE2017,822118,9293401,151485,8.85
238,NH2017,649944,4389838,107436,14.81
239,NJ2017,4663077,37971404,517404,12.28
240,NM2017,895321,8784312,143326,10.19
241,NV2017,885747,11122755,163356,7.96
242,NY2017,11111277,75333485,1089889,14.75
243,OH2017,4639989,46158399,627168,10.05
244,OK2017,1661847,20498860,281267,8.11
245,OR2017,1467501,16570754,233823,8.86
246,PA2017,3826399,42622565,698453,8.98
247,RI2017,547549,3603085,59447,15.2
248,SC2017,2300878,21758082,373073,10.57
249,SD2017,459762,4722666,71263,9.74
250,TN2017,3558682,33727208,484324,10.55
251,TX2017,11352259,137485841,1514712,8.26
252,UT2017,1014847,11739121,127113,8.65
253,VA2017,4023032,50200525,422256,8.01
254,VT2017,288831,1976594,56388,14.61
255,WA2017,2553289,29799505,381028,8.57
256,WI2017,2570834,23641127,351707,10.87
257,WV2017,722937,7549430,143951,9.58
258,WY2017,364808,3762086,57863,9.7
259,US2017,144241940,1352887694,18359427,10.66
260,AK2016,479547,2731499,52804,17.56
261,AL2016,2626821,23634474,367009,11.11
262,AR2016,1002233,12177633,190181,8.23
263,AZ2016,3078184,29564157,318197,10.41
264,CA2016,17603177,116774684,1692326,15.07
265,CO2016,1996042,20800136,367001,9.6
266,CT2016,2000464,12701264,152182,15.75
267,DC2016,980630,8368479,25924,11.72
268,DE2016,426492,4235231,53366,10.07
269,FL2016,8506823,95547214,1199897,8.9
270,GA2016,4687610,47761768,567431,9.81
271,HI2016,766699,3111282,60836,24.64
272,IA2016,1126795,12291332,235813,9.17
273,ID2016,487083,6279129,107551,7.76
274,IL2016,4591721,50910054,606954,9.02
275,IN2016,2425318,24228779,350645,10.01
276,KS2016,1663730,15887392,232926,10.47
277,KY2016,1912414,19981122,302040,9.57
278,LA2016,2139380,24895713,289780,8.59
279,MA2016,4045730,25933809,402936,15.6
280,MD2016,3262005,29675993,250939,10.99
281,ME2016,481742,3986488,97949,12.08
282,MI2016,4146763,38985906,538677,10.64
283,MN2016,2316287,23501739,291569,9.86
284,MO2016,2845734,30728480,376711,9.26
285,MS2016,1390347,14522538,232885,9.57
286,MT2016,492348,4831636,105934,10.19
287,NC2016,4189494,48604221,672610,8.62
288,ND2016,580437,6346158,73573,9.15
289,NE2016,818933,9306827,149812,8.8
290,NH2016,644623,4466192,106900,14.43
291,NJ2016,4740342,38672407,514579,12.26
292,NM2016,858346,8805876,141723,9.75
293,NV2016,787864,9929076,161594,7.93
294,NY2016,11054211,76506968,1072896,14.45
295,OH2016,4762070,47742269,623730,9.97
296,OK2016,1585720,20695703,278027,7.66
297,OR2016,1430623,16060478,231692,8.91
298,PA2016,4013869,43535432,696080,9.22
299,RI2016,543194,3651317,58907,14.88
300,SC2016,2288955,22274962,369409,10.28
301,SD2016,450258,4698053,70745,9.58
302,TN2016,3612206,35438903,480032,10.19
303,TX2016,11483766,139104274,1447247,8.26
304,UT2016,1012493,11565312,124540,8.75
305,VA2016,3908785,49263847,430877,7.93
306,VT2016,292867,2014045,55601,14.54
307,WA2016,2443432,28989062,367847,8.43
308,WI2016,2572429,23884088,349324,10.77
309,WV2016,731809,7825670,142711,9.35
310,WY2016,353660,3762315,57434,9.4
311,US2016,142642502,1367191386,18148353,10.43
312,AK2015,481839,2763491,50642,17.44
313,AL2015,2538645,23437831,362871,10.83
314,AR2015,1011199,12153236,187706,8.32
315,AZ2015,3042894,29284431,314756,10.39
316,CA2015,18627081,118384093,1685688,15.73
317,CO2015,2016563,20408085,365563,9.88
318,CT2015,2069571,12958570,152482,15.97
319,DC2015,987107,8221610,25439,12.01
320,DE2015,432571,4219085,52786,10.25
321,FL2015,9106202,95847051,1183241,9.5
322,GA2015,4662637,47151316,560950,9.89
323,HI2015,854791,3174462,60631,26.93
324,IA2015,1076729,12071781,227544,8.92
325,ID2015,488546,6263642,106451,7.8
326,IL2015,4540480,50319815,603187,9.02
327,IN2015,2349168,24021689,350474,9.78
328,KS2015,1553019,15380339,228411,10.1
329,KY2015,1848262,19589209,299462,9.44
330,LA2015,2165878,24996178,298170,8.66
331,MA2015,4135789,26200307,407063,15.79
332,MD2015,3295693,29959115,249181,11.0
333,ME2015,501148,4017822,97057,12.47
334,MI2015,4057255,38440734,532858,10.55
335,MN2015,2207024,23388015,289044,9.44
336,MO2015,2797527,30535443,373622,9.16
337,MS2015,1517771,14391682,231388,10.55
338,MT2015,500514,4894095,104325,10.23
339,NC2015,4210468,48236147,665198,8.73
340,ND2015,554633,6278868,71210,8.83
341,NE2015,807429,9307834,149820,8.67
342,NH2015,672092,4491173,105833,14.96
343,NJ2015,4952384,38722730,512894,12.79
344,NM2015,914719,8877046,142031,10.3
345,NV2015,889432,9613997,160492,9.25
346,NY2015,11785740,77005625,1055136,15.31
347,OH2015,4743183,47123923,620810,10.07
