id,revenue,sales,customers,price
RI2019,108412,695416,1758,15.59
SC2019,1643068,26877335,3703,6.11
SD2019,228300,2923865,4089,7.81
TN2019,1198249,21104523,1016,5.68
TX2019,7171361,131673922,232427,5.45
UT2019,567343,9490843,10343,5.98
VA2019,1206041,17598247,3723,6.85
VT2019,155930,1411655,242,11.05
WA2019,1209353,25171873,26829,4.8
WI2019,1727052,23614832,5522,7.31
WV2019,875173,14526664,11562,6.02
WY2019,695295,10338641,11294,6.73
US2019,68284892,1002352849,954222,6.81
AK2018,231156,1351503,1387,17.1
AL2018,2027558,33717004,7342,6.01
AR2018,1018825,18064787,36596,5.64
AZ2018,916272,13994441,7794,6.55
CA2018,6546363,49587913,148644,13.2
CO2018,1198532,16047258,15985,7.47
CT2018,441995,3209992,4308,13.77
DC2018,15982,192662,1,8.3
DE2018,187698,2360585,837,7.95
FL2018,1276341,16689129,21327,7.65
GA2018,1963178,32695791,23065,6.0
HI2018,937994,3593454,814,26.1
IA2018,1546011,23952635,7890,6.45
ID2018,575247,8889037,28418,6.47
IL2018,2998939,44114711,5717,6.8
IN2018,3343388,45293322,17763,7.38
KS2018,887449,11681037,24185,7.6
KY2018,1642598,28917429,6750,5.68
LA2018,2002500,37416715,19558,5.35
MA2018,997600,6699302,10503,14.89
MD2018,318402,3870188,8801,8.23
ME2018,282922,3035573,3064,9.32
MI2018,2187188,30806023,5972,7.1
MN2018,1688832,22446853,9066,7.52
MO2018,966201,13389587,8085,7.22
MS2018,993099,16549315,10988,6.0
MT2018,245120,4719928,9915,5.19
NC2018,1732371,27353560,10025,6.33
ND2018,694475,8700422,8985,7.98
NE2018,833976,10974088,61968,7.6
NH2018,263361,1962711,3176,13.42
NJ2018,741934,7369106,11877,10.07
NM2018,478397,8186897,9360,5.84
NV2018,744443,12198273,3446,6.1
NY2018,1087828,18076792,6884,6.02
OH2018,3591707,51235995,18715,7.01
OK2018,1027324,19229365,18700,5.34
OR2018,814163,13899298,24821,5.86
PA2018,3361585,49155499,11743,6.84
RI2018,113051,734618,1773,15.39
SC2018,1680837,27555886,4324,6.1
SD2018,228011,2935335,3923,7.77
TN2018,1227684,21598775,1010,5.68
TX2018,6654236,123438829,125714,5.39
UT2018,553971,9392709,9666,5.9
VA2018,1216724,17736936,3704,6.86
VT2018,150385,1411388,204,10.66
WA2018,1191154,25263272,27284,4.72
WI2018,1790668,24424585,5789,7.33
WV2018,907954,14192929,11515,6.4
WY2018,694804,10359111,10940,6.71
US2018,69218432,1000672553,840321,6.92
AK2017,232117,1420560,1374,16.34
AL2017,2052257,33316872,8047,6.16
AR2017,1041103,17146265,35595,6.07
AZ2017,884209,13706041,8133,6.45
CA2017,6189685,48627406,147754,12.73
CO2017,1163087,15501238,16228,7.5
CT2017,424986,3243615,4385,13.1
DC2017,14826,180183,1,8.23
DE2017,177390,2281337,854,7.78
FL2017,1299364,16601941,21289,7.83
GA2017,1921632,32250691,23108,5.96
HI2017,828074,3612890,782,22.92
IA2017,1431706,23065102,7747,6.21
ID2017,575797,8644888,28138,6.66
IL2017,2782185,42970694,5693,6.47
IN2017,3298049,43737384,17917,7.54
KS2017,870243,11535075,24322,7.54
KY2017,1626511,28459287,7010,5.72
LA2017,2035903,37160685,19611,5.48
MA2017,952295,6859215,10358,13.88
MD2017,317893,3797822,8754,8.37
ME2017,244676,2658353,3100,9.2
MI2017,2200758,30590574,6196,7.19
MN2017,1642588,22280917,8984,7.37
MO2017,968061,13210525,8191,7.33
MS2017,965966,16128614,11156,5.99
MT2017,236952,4514949,9893,5.25
NC2017,1699347,27393364,10045,6.2
ND2017,668782,8762211,8708,7.63
NE2017,873216,11397616,62066,7.66
NH2017,241347,1955926,3220,12.34
NJ2017,742874,7343012,11773,10.12
NM2017,475597,7728065,9395,6.15
NV2017,774689,12589549,3447,6.15
NY2017,1055297,17811455,6997,5.92
OH2017,3503104,50650671,18664,6.92
OK2017,984080,18155672,18782,5.42
OR2017,800856,13381811,24383,5.98
PA2017,3241741,47889117,22726,6.77
RI2017,105708,725767,1784,14.57
SC2017,1677448,27113704,4379,6.19
SD2017,230254,2938119,3892,7.84
TN2017,1412830,24220149,1167,5.83
TX2017,6424254,119970143,114857,5.35
UT2017,569088,9283036,9594,6.13
VA2017,1117710,17168820,3692,6.51
VT2017,145424,1423644,187,10.21
WA2017,1143982,24858604,27825,4.6
WI2017,1813523,24204631,5666,7.49
WV2017,902668,13586126,11529,6.64
WY2017,708573,10243610,10931,6.92
US2017,67690702,984297945,840329,6.88
AK2016,210807,1385311,1343,15.22
AL2016,1966223,32535121,7266,6.04
AR2016,986087,16226147,36428,6.08
AZ2016,908697,14975656,8130,6.07
CA2016,6076719,50979124,148549,11.92
CO2016,1109890,15103434,16245,7.35
CT2016,431744,3370068,4408,12.81
DC2016,16943,192454,1,8.8
DE2016,183385,2260101,873,8.11
FL2016,1288401,16758825,21162,7.69
GA2016,1884161,32290121,21774,5.84
HI2016,770337,3722380,801,20.69
IA2016,1333452,22046183,7724,6.05
ID2016,564023,8611810,27847,6.55
IL2016,2839682,43631754,6054,6.51
IN2016,3237626,46429174,18085,6.97
KS2016,854601,11413547,23729,7.49
KY2016,1600131,28234016,7308,5.67
LA2016,1822080,35894652,19231,5.08
MA2016,1004205,7507380,13675,13.38
MD2016,301389,3821476,8822,7.89
ME2016,257723,2876638,3028,8.96
MI2016,2137716,30934422,6191,6.91
MN2016,1564118,21216798,9000,7.37
MO2016,962263,13513245,10169,7.12
MS2016,931023,16068698,11214,5.79
MT2016,223302,4416418,9814,5.06
NC2016,1725487,27336887,10052,6.31
ND2016,593271,7432732,8634,7.98
NE2016,857693,11154176,61613,7.69
NH2016,246798,2000357,3250,12.34
NJ2016,741084,7293070,11929,10.16
NM2016,443256,7591160,9325,5.84
NV2016,794576,13515234,3654,5.88
NY2016,1067777,17709218,7646,6.03
OH2016,3508525,50290693,19095,6.98
OK2016,904809,18031136,19096,5.02
OR2016,768364,12691616,24628,6.05
PA2016,3262271,47127932,23372,6.92
RI2016,103047,764295,1821,13.48
SC2016,1625453,26686992,4062,6.09
SD2016,212936,2812753,3851,7.57
