id,revenue,sales,customers,price
US2019,187436037,1440288909,135249616,13.01
AK2018,433247,1974906,287526,21.94
AL2018,4027603,33080380,2229472,12.18
AR2018,1888657,19259204,1388358,9.81
AZ2018,4425192,34660297,2808352,12.77
CA2018,16782222,89099985,13591152,18.84
CO2018,2342778,19286952,2326976,12.15
CT2018,2769111,13061372,1503701,21.2
DC2018,332869,2592242,274613,12.84
DE2018,635362,5070175,432449,12.53
FL2018,14485280,125528047,9423022,11.54
GA2018,6847325,59689106,4354021,11.47
HI2018,880207,2710698,436266,32.47
IA2018,1817122,14840349,1385756,12.24
ID2018,855157,8427578,743567,10.15
IL2018,6028532,47225915,5289573,12.77
IN2018,4239862,34574664,2863358,12.26
KS2018,1894142,14187192,1266044,13.35
KY2018,2936379,27712722,1980209,10.6
LA2018,3074086,32065538,2085055,9.59
MA2018,4383449,20284674,2784243,21.61
MD2018,3741620,28138474,2332517,13.3
ME2018,820564,4872001,709848,16.84
MI2018,5426835,35131422,4365529,15.45
MN2018,3001391,22837140,2420325,13.14
MO2018,4248638,37463390,2792459,11.34
MS2018,2146535,19310527,1290281,11.12
MT2018,569768,5197686,509526,10.96
NC2018,6834735,61622454,4550420,11.09
ND2018,526145,5133171,382596,10.25
NE2018,1114442,10412008,849898,10.7
NH2018,913613,4641013,622671,19.69
NJ2018,4550431,29530689,3568044,15.41
NM2018,865755,6826442,889841,12.68
NV2018,1593360,13449743,1183660,11.85
NY2018,9658622,52153246,7190906,18.52
OH2018,6839823,54451714,4964855,12.56
OK2018,2484031,24116808,1764980,10.3
OR2018,2079228,18930583,1750240,10.98
PA2018,7764870,55896453,5390428,13.89
RI2018,642041,3124168,442005,20.55
SC2018,3962861,31852419,2290200,12.44
SD2018,581764,5018360,400150,11.59
TN2018,4751657,44381957,2882992,10.71
TX2018,17609632,157267913,11148784,11.2
UT2018,1011446,9714507,1091162,10.41
VA2018,5624478,47962606,3431574,11.73
VT2018,381309,2116045,315138,18.02
WA2018,3446381,35338978,3076868,9.75
WI2018,3146091,22441335,2700245,14.02
WV2018,1306097,11679455,859039,11.18
WY2018,310226,2748356,272427,11.29
US2018,189032969,1469093059,133893321,12.87
AK2017,438240,2060349,285697,21.27
AL2017,3786699,30181045,2213592,12.55
AR2017,1749676,17026779,1380157,10.28
AZ2017,4259275,34251220,2764355,12.44
CA2017,16500848,90123505,13548295,18.31
CO2017,2264556,18615000,2288358,12.17
CT2017,2512033,12379520,1495577,20.29
DC2017,309764,2394652,267448,12.94
DE2017,622385,4662598,426071,13.35
FL2017,14097730,121462622,9291707,11.61
GA2017,6516806,54771449,4296977,11.9
HI2017,775853,2629679,432952,29.5
IA2017,1692832,13721869,1375599,12.34
ID2017,876364,8727901,727568,10.04
IL2017,5661904,43717391,5264333,12.95
IN2017,3878281,31551558,2834090,12.29
KS2017,1732461,13013422,1259226,13.31
KY2017,2699918,24882582,1971002,10.85
LA2017,2874957,29531960,2073615,9.74
MA2017,3879096,19337799,2766154,20.06
MD2017,3640765,26084176,2313189,13.96
ME2017,740677,4638535,707792,15.97
MI2017,5078011,32977374,4344321,15.4
MN2017,2813969,21573800,2403168,13.04
MO2017,3843968,33051080,2771123,11.63
MS2017,1932657,17444016,1284578,11.08
MT2017,572287,5224588,503313,10.95
NC2017,6138404,56133960,4488039,10.94
ND2017,498902,4848305,380101,10.29
NE2017,1060436,9667990,841965,10.97
NH2017,852981,4441497,618356,19.2
NJ2017,4344094,27761879,3536087,15.65
NM2017,836772,6497207,880867,12.88
NV2017,1550498,12936791,1263101,11.99
NY2017,8849146,49080757,7144413,18.03
OH2017,6287043,49795540,4936471,12.63
OK2017,2316983,21837596,1751034,10.61
OR2017,2138505,20065930,1725884,10.66
PA2017,7359033,51724498,5356693,14.23
RI2017,554752,3028267,437124,18.32
SC2017,3804261,29224971,2251558,13.02
SD2017,547554,4652890,396564,11.77
TN2017,4213506,39292528,2847696,10.72
TX2017,15886368,144242131,10809494,11.01
UT2017,1041820,9510783,1063292,10.95
VA2017,5078889,43982440,3398529,11.55
VT2017,357641,2023424,313670,17.68
WA2017,3600615,37282901,3037674,9.66
WI2017,3045972,21233154,2681341,14.35
WV2017,1229699,10573463,858961,11.63
WY2017,315284,2772371,270576,11.37
US2017,177661167,1378647742,132579747,12.89
AK2016,407365,2006392,283260,20.3
AL2016,3843395,32055546,2200574,11.99
AR2016,1764930,17784233,1368867,9.92
AZ2016,4094426,33690783,2725510,12.15
CA2016,15359796,88311069,13445133,17.39
CO2016,2273979,18833722,2260068,12.07
CT2016,2536772,12676983,1486741,20.01
DC2016,307506,2501892,259392,12.29
DE2016,639086,4763106,419234,13.42
FL2016,13545273,123320547,9149214,10.98
GA2016,6659243,57889379,4240421,11.5
HI2016,717390,2611727,430941,27.47
IA2016,1682433,14093678,1358902,11.94
ID2016,813497,8172022,714365,9.95
IL2016,5764945,45990052,5231541,12.54
IN2016,3892459,33025955,2821546,11.79
KS2016,1764173,13509235,1252846,13.06
KY2016,2763077,26338437,1957188,10.49
LA2016,2861963,30650067,2059699,9.34
MA2016,3741859,19692896,2740865,19.0
MD2016,3886430,27316871,2288301,14.23
ME2016,725746,4585825,699321,15.83
MI2016,5258083,34543262,4311008,15.22
MN2016,2762790,21803791,2378681,12.67
MO2016,3850746,34354932,2751460,11.21
MS2016,1931958,18458928,1278616,10.47
MT2016,530661,4852547,497170,10.94
NC2016,6446114,58456809,4423532,11.03
ND2016,481747,4741298,377739,10.16
NE2016,1055594,9738351,834038,10.84
NH2016,815783,4438407,612716,18.38
NJ2016,4573774,29090726,3510141,15.72
NM2016,799336,6642511,876921,12.03
NV2016,1447619,12691942,1143667,11.41
NY2016,8933623,50831287,7118901,17.58
OH2016,6551231,52524141,4911597,12.47
OK2016,2323581,22789715,1736819,10.2
OR2016,1980615,18573242,1706622,10.66
PA2016,7470000,53877130,5335555,13.86
RI2016,573662,3081562,438507,18.62
SC2016,3873817,30615596,2209783,12.65
SD2016,529582,4618724,392187,11.47
TN2016,4349574,41773888,2812287,10.41
TX2016,16048319,145973181,10521732,10.99
UT2016,1032342,9370656,1041823,11.02
VA2016,5131025,45186057,3362985,11.36
VT2016,357128,2056402,312239,17.37
WA2016,3244682,34211748,2985799,9.48
WI2016,3069410,21814249,2662284,14.07
WV2016,1301903,11375581,860375,11.44
WY2016,306298,2751073,269647,11.13
US2016,177076738,1411058153,131068760,12.55
AK2015,405270,2044184,282282,19.83
AL2015,3731831,31908530,2182616,11.7
AR2015,1794303,18273389,1356658,9.82
AZ2015,4023333,33167205,2689223,12.13
CA2015,15187827,89386373,13380684,16.99
CO2015,2227990,18384936,2225725,12.12
CT2015,2699306,12892862,1468958,20.94
DC2015,324309,2497559,247469,12.99
DE2015,650835,4848998,413445,13.42
FL2015,14216590,122759472,8963967,11.58
GA2015,6511155,56421650,4191209,11.54
HI2015,781896,2641336,428339,29.6
IA2015,1603951,13786328,1356600,11.63
ID2015,799700,8054693,701447,9.93
IL2015,5581101,44645638,5172653,12.5
IN2015,3753084,32441693,2804861,11.57
KS2015,1634552,13241682,1231830,12.34
KY2015,2680343,26168093,1947068,10.24
LA2015,2943587,31545313,2043760,9.33
MA2015,4000022,20175317,2794918,19.83
MD2015,3786876,27403336,2255556,13.82
ME2015,727922,4662301,699241,15.61
MI2015,4810815,33357876,4282858,14.42
MN2015,2630742,21713970,2374674,12.12
MO2015,3799962,33911760,2734553,11.21
MS2015,2092177,18561101,1270397,11.27
MT2015,525004,4825213,491422,10.88
NC2015,6531847,57901557,4336698,11.28
ND2015,467895,4862542,371501,9.62
NE2015,1010527,9532132,825940,10.6
NH2015,837549,4526948,607465,18.5
NJ2015,4607270,29142283,3489111,15.81
NM2015,828169,6641724,871047,12.47
NV2015,1574103,12338538,1126220,12.76
NY2015,9456188,51012745,7079097,18.54
OH2015,6590569,51492954,4892916,12.8
OK2015,2293592,22615824,1723938,10.14
OR2015,1948315,18269007,1686973,10.66
PA2015,7423145,54418663,5304279,13.64
RI2015,604825,3135506,440191,19.29
SC2015,3778451,30059188,2185965,12.57
SD2015,506522,4571325,388374,11.08
TN2015,4291880,41667411,2783058,10.3
TX2015,16838434,145651913,10318006,11.56
UT2015,992264,9117153,1021839,10.88
VA2015,5221259,45928411,3332083,11.37
VT2015,356986,2088940,312060,17.09
WA2015,3098110,34071987,2945760,9.09
WI2015,2994383,21214787,2647224,14.11
WV2015,1153344,11437451,861334,10.08
WY2015,293517,2676702,268226,10.97
US2015,177623623,1404096499,129811718,12.65
AK2014,391068,2043614,281438,19.14
AL2014,3781917,32929598,2169790,11.48
AR2014,1753284,18441119,1345009,9.51
AZ2014,3848998,32346079,2661694,11.9
CA2014,14517393,89360680,13256068,16.25
CO2014,2203838,18092932,2193520,12.18
CT2014,2523349,12777579,1459239,19.75
DC2014,263973,2072205,239355,12.74
DE2014,617400,4644841,407508,13.29
FL2014,13854538,116535263,8891020,11.89
GA2014,6659464,57167387,4137057,11.65
HI2014,957073,2583770,425168,37.04
IA2014,1610036,14426582,1348641,11.16
ID2014,791099,8134913,690277,9.72
IL2014,5481125,46009458,5145022,11.91
IN2014,3861636,33703965,2784660,11.46
KS2014,1665583,13684952,1228858,12.17
KY2014,2785001,27399768,1939489,10.16
LA2014,3005472,31400683,2026223,9.57
MA2014,3490569,20071160,2720128,17.39
MD2014,3746115,27487633,2234962,13.63
ME2014,711813,4660605,706952,15.27
MI2014,4846496,33514991,4273126,14.46
MN2014,2737895,22791466,2345860,12.01
MO2014,3807788,35792644,2724541,10.64
MS2014,2141264,18922097,1263583,11.32
MT2014,505962,4969243,485041,10.18
NC2014,6511383,58649994,4303476,11.1
ND2014,490071,5357514,360171,9.15
NE2014,1043023,10028238,817425,10.4
NH2014,790656,4510487,606883,17.53
NJ2014,4400228,27892582,3470874,15.78
NM2014,812034,6611970,869875,12.28
NV2014,1541121,11916521,1110535,12.93
NY2014,10031316,49974914,7046829,20.07
OH2014,6598181,52804334,4882159,12.5
OK2014,2343199,23351144,1710352,10.03
OR2014,1948732,18617613,1669124,10.47
PA2014,7217831,54195335,5289211,13.32
RI2014,527116,3070347,438879,17.17
SC2014,3824288,30715986,2157091,12.45
SD2014,505345,4827368,384749,10.47
TN2014,4392023,42538248,2756932,10.32
TX2014,16715817,140899744,10138874,11.86
UT2014,954231,8963971,1000416,10.65
VA2014,5155281,46443716,3303676,11.1
VT2014,370673,2121347,310932,17.47
WA2014,3040586,35082958,2907705,8.67
WI2014,2996152,21925712,2631430,13.67
WV2014,1119698,11990728,862869,9.34
WY2014,288879,2752313,265720,10.5
US2014,176178008,1407208311,128680416,12.52
AK2013,381181,2103966,277275,18.12
AL2013,3532584,31378659,2158898,11.26
AR2013,1746489,18219287,1339680,9.59
AZ2013,3877986,33103602,2630595,11.71
CA2013,14481054,89241934,13256426,16.23
CO2013,2210316,18528908,2169365,11.93
CT2013,2305821,13135451,1454963,17.55
DC2013,255575,2033618,235322,12.57
DE2013,591965,4570013,403519,12.95
FL2013,12770123,113293913,8756322,11.27
GA2013,6135755,53544411,4101351,11.46
HI2013,964882,2608853,422386,36.98
IA2013,1614968,14625866,1341807,11.04
ID2013,803665,8619262,680930,9.32
IL2013,4927661,46372234,5120607,10.63
IN2013,3672739,33406630,2771260,10.99
KS2013,1582807,13593003,1222985,11.64
KY2013,2623038,26788098,1935245,9.79
LA2013,2895482,30709206,2011044,9.43
MA2013,3282074,20727624,2708759,15.83
MD2013,3638091,27448367,2218948,13.25
ME2013,669227,4662303,704775,14.35
MI2013,4962369,34013168,4265264,14.59
MN2013,2698103,22849542,2329734,11.81
MO2013,3745002,35318204,2708934,10.6
MS2013,1989585,18462415,1260892,10.78
MT2013,508873,4926471,477266,10.33
NC2013,6172487,56251297,4268019,10.97
ND2013,459360,5038846,348486,9.12
NE2013,1037786,10062159,810867,10.31
NH2013,743587,4553871,603628,16.33
NJ2013,4489692,28544638,3461109,15.73
NM2013,794916,6803987,865195,11.68
NV2013,1444315,12142431,1094770,11.89
NY2013,9543510,50777369,7027866,18.79
OH2013,6264302,52158094,4875346,12.01
OK2013,2244427,23199968,1693151,9.67
OR2013,1913137,19328558,1650803,9.9
PA2013,6938374,54251847,5272857,12.79
RI2013,481014,3164692,438198,15.2
SC2013,3455720,28812518,2135432,11.99
SD2013,494855,4824150,381081,10.26
TN2013,4083088,40905924,2738547,9.98
TX2013,15926136,140272607,9954303,11.35
UT2013,974822,9401748,981194,10.37
VA2013,4924510,45416253,3273502,10.84
VT2013,364245,2125435,311308,17.14
WA2013,3129362,35983486,2880008,8.7
